syslog10k.log,,,,,,,,,,
quick_ana.csv_warm_sort_0,quick_ana.csv_warm_sort_1,quick_ana.csv_warm_sort_2,quick_ana.csv_warm_sort_3,quick_ana.csv_warm_sort_4,,,,,,
0.153003,0.179102,0.167019,0.160622,0.167925,0.1655342,,,,,
,,,,,,,,,,
quick_ana.csv_exec_sort_0,quick_ana.csv_exec_sort_1,quick_ana.csv_exec_sort_2,quick_ana.csv_exec_sort_3,quick_ana.csv_exec_sort_4,quick_ana.csv_exec_sort_5,quick_ana.csv_exec_sort_6,quick_ana.csv_exec_sort_7,quick_ana.csv_exec_sort_8,quick_ana.csv_exec_sort_9,
0.178212,0.213857,0.195392,0.192943,0.177787,0.187053,0.194782,0.186095,0.163341,0.145008,0.183447
,,,,,,,,,,
syslog5000.log.gz,,,,,,,,,,
syslog50k.log,,,,,,,,,,
quick_ana.csv_warm_load_0,quick_ana.csv_warm_load_1,quick_ana.csv_warm_load_2,quick_ana.csv_warm_load_3,quick_ana.csv_warm_load_4,,,,,,
0.096805,0.101608,0.096923,0.099398,0.106616,0.10027,,,,,
,,,,,,,,,,
quick_ana.csv_exec_load_0,quick_ana.csv_exec_load_1,quick_ana.csv_exec_load_2,quick_ana.csv_exec_load_3,quick_ana.csv_exec_load_4,quick_ana.csv_exec_load_5,quick_ana.csv_exec_load_6,quick_ana.csv_exec_load_7,quick_ana.csv_exec_load_8,quick_ana.csv_exec_load_9,
0.099591,0.098486,0.11157,0.099952,0.101502,0.099625,0.100816,0.100336,0.057179,0.056188,0.0925245
quick_ana.csv_warm_parse_0,quick_ana.csv_warm_parse_1,quick_ana.csv_warm_parse_2,quick_ana.csv_warm_parse_3,quick_ana.csv_warm_parse_4,,,,,,
,,,,,,,,,,
15.343181,16.915699,15.718621,16.241046,16.453825,16.1344744,,,,,
,,,,,,,,,,
quick_ana.csv_exec_parse_0,quick_ana.csv_exec_parse_1,quick_ana.csv_exec_parse_2,quick_ana.csv_exec_parse_3,quick_ana.csv_exec_parse_4,quick_ana.csv_exec_parse_5,quick_ana.csv_exec_parse_6,quick_ana.csv_exec_parse_7,quick_ana.csv_exec_parse_8,quick_ana.csv_exec_parse_9,
15.623691,16.323994,16.750901,16.137682,16.915913,16.778126,17.049408,17.113538,8.724179,9.226511,15.0643943
,,,,,,,,,,
quick_ana.csv_warm_sort_0,quick_ana.csv_warm_sort_1,quick_ana.csv_warm_sort_2,quick_ana.csv_warm_sort_3,quick_ana.csv_warm_sort_4,,,,,,
1.938793,1.593748,1.694838,1.843034,1.711879,1.7564584,,,,,
,,,,,,,,,,
quick_ana.csv_exec_sort_0,quick_ana.csv_exec_sort_1,quick_ana.csv_exec_sort_2,quick_ana.csv_exec_sort_3,quick_ana.csv_exec_sort_4,quick_ana.csv_exec_sort_5,quick_ana.csv_exec_sort_6,quick_ana.csv_exec_sort_7,quick_ana.csv_exec_sort_8,quick_ana.csv_exec_sort_9,
1.617337,1.811,1.713241,1.920148,1.745933,1.712089,1.780639,1.304388,0.92958,0.95155,1.5485905
,,,,,,,,,,
syslog50k.log.gz,,,,,,,,,,
